taxa_id,taxa,taxa_short,lambda,med,mean,max
154,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Aggregatibacter,GENUS_Aggregatibacter,1.03817518999278,0.312521872941978,0.455191675354101,7.91621797361939
155,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus,GENUS_Haemophilus,1.01179741295045,0.304581370833302,0.439787890124825,5.88677549855004
156,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales,ORDER_Pseudomonadales,1.04010227019944,0.313101981888235,0.448287552141501,6.85677903691878
157,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae,FAMILY_Moraxellaceae,1.01784642095416,0.30640230368643,0.443053836360339,6.21958330845423
158,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter,GENUS_Acinetobacter,1.01855647267663,0.306616050553366,0.442513707971496,7.58073670206103
159,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Enhydrobacter,GENUS_Enhydrobacter,1.06311372683692,0.320009157565127,0.545248287166138,15.9545909533585
160,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae,FAMILY_Pseudomonadaceae,1.15817498121953,0.348645409574645,0.48784533811764,7.5323090386375
161,k__Bacteria.p__Synergistetes,PHYLUM_Synergistetes,1.16202124605273,0.349800335198883,0.555836617865594,15.9545909533585
162,k__Bacteria.p__Tenericutes,PHYLUM_Tenericutes,1.02382995869968,0.308203528028019,0.446810345877088,5.94860819896664
163,k__Bacteria.p__Tenericutes.c__Mollicutes,CLASS_Mollicutes,1.02629909834286,0.308946813124098,0.449342979550782,7.03150911280229
164,k__Bacteria.p__Tenericutes.c__RF3,CLASS_RF3,1.04606581853724,0.314897188818505,0.456981513745386,6.73422495245539
165,k__Bacteria.p__TM7,PHYLUM_TM7,1.03712971476191,0.312207153537764,0.45311864471298,5.8432812828143
166,k__Bacteria.p__Verrucomicrobia,PHYLUM_Verrucomicrobia,1.00692131441432,0.303113518912112,0.438757637960666,6.75823194629723
